epoch,brotli_size,soup_size,higher_entropy
46529,482171,8192,0.160198
46593,482283,8192,0.150994
46657,481711,8192,0.157267
46721,482252,8192,0.157017
46785,482126,8192,0.156337
46849,482841,8192,0.150295
46913,482881,8192,0.157781
46977,483689,8192,0.151563
47041,482561,8192,0.169208
47105,482520,8192,0.174191
47169,483029,8192,0.171748
47233,483824,8192,0.164664
47297,483715,8192,0.165660
47361,483351,8192,0.172027
47425,483991,8192,0.157903
47489,483806,8192,0.160366
47553,482264,8192,0.175819
47617,482321,8192,0.172163
47681,482269,8192,0.172916
47745,481465,8192,0.177285
47809,482187,8192,0.162353
47873,481788,8192,0.167946
47937,482069,8192,0.172047
48001,483626,8192,0.155128
48065,484159,8192,0.150585
48129,484442,8192,0.145528
48193,483871,8192,0.144087
48257,483690,8192,0.140670
48321,483954,8192,0.137734
48385,484695,8192,0.136017
48449,484886,8192,0.127237
48513,484868,8192,0.124408
48577,484636,8192,0.130741
48641,484284,8192,0.132313
48705,484245,8192,0.135665
48769,484618,8192,0.132889
48833,485111,8192,0.126865
48897,484769,8192,0.132141
48961,485139,8192,0.129894
49025,486398,8192,0.116127
49089,485855,8192,0.127112
49153,485984,8192,0.121494
49217,486140,8192,0.123481
49281,485015,8192,0.132489
49345,485186,8192,0.131209
49409,484820,8192,0.136682
49473,484888,8192,0.130675
49537,484020,8192,0.140626
49601,484094,8192,0.141954
49665,484074,8192,0.134404
49729,484426,8192,0.127790
49793,484076,8192,0.134708
49857,483972,8192,0.135564
49921,483634,8192,0.138842
49985,483276,8192,0.147049
50049,482689,8192,0.155692
50113,483581,8192,0.147104
50177,484065,8192,0.139396
50241,484893,8192,0.132247
50305,483731,8192,0.148994
50369,483488,8192,0.150145
50433,483657,8192,0.150393
50497,484253,8192,0.146467
50561,485007,8192,0.147409
50625,484175,8192,0.157971
50689,484036,8192,0.153352
50753,484561,8192,0.141866
50817,484681,8192,0.143248
50881,485011,8192,0.136562
50945,483772,8192,0.153535
51009,483534,8192,0.152480
51073,481731,8192,0.175985
51137,482053,8192,0.173179
51201,482130,8192,0.170371
51265,482689,8192,0.161277
51329,482378,8192,0.166911
51393,482303,8192,0.167305
51457,482916,8192,0.162651
51521,483367,8192,0.156620
51585,481998,8192,0.170315
51649,481498,8192,0.171784
51713,481597,8192,0.169605
51777,481459,8192,0.168111
51841,481509,8192,0.163167
51905,480977,8192,0.166023
51969,481362,8192,0.154517
52033,481205,8192,0.145867
52097,481498,8192,0.139088
52161,481748,8192,0.137712
52225,481760,8192,0.139463
52289,481792,8192,0.132475
52353,481885,8192,0.132733
52417,481995,8192,0.128751
52481,481419,8192,0.137284
52545,481089,8192,0.139746
52609,481552,8192,0.135425
52673,482838,8192,0.118263
52737,481773,8192,0.129189
52801,481898,8192,0.129137
52865,483002,8192,0.109816
52929,483225,8192,0.106530
